Update Call #10:
Node ID: vehicle_6, Type: vehicle, Position (x, y, z): (843.9794694564462, 660.1183887608049, 0), Speed: 0.9924052372984256, Angle: 25.46563474797641, Acceleration: 2.5391631899057585
Node ID: UAV_0, Type: uav, Position (x, y, z): (874.3915985568862, 1958.6395340444742, 151.3764771991707), Speed: 21.43117560323391, Angle: -1.9738664341588532, Acceleration: 37.735415006500226
Node ID: UAV_1, Type: uav, Position (x, y, z): (628.4593101019768, 2007.4918876859763, 157.07471412613845), Speed: 14.841593395840027, Angle: 2.8575557647142897, Acceleration: 131.54692611279992
Node ID: UAV_2, Type: uav, Position (x, y, z): (2303.629078372167, 1935.2962980459668, 190.6762014331711), Speed: 13.702832303187996, Angle: 3.0920679893973215, Acceleration: 35.41616288445873
Node ID: UAV_3, Type: uav, Position (x, y, z): (2068.292245567803, 2055.65318881542, 108.6058826127831), Speed: 25.16149385668288, Angle: -2.02978896187089, Acceleration: 44.69526263305653
Node ID: UAV_4, Type: uav, Position (x, y, z): (306.1334139441995, 2351.822111371754, 148.50664818493377), Speed: 18.39963914125033, Angle: -1.4940353873998833, Acceleration: -52.29307025323294
Node ID: UAV_5, Type: uav, Position (x, y, z): (2263.6989738233474, 66.50026425325407, 178.5641307716532), Speed: 21.46281144740875, Angle: -3.1090515608083233, Acceleration: -75.72623017023756
Node ID: UAV_6, Type: uav, Position (x, y, z): (477.4698286125408, 270.5630972505729, 147.31383497969344), Speed: 14.7346713757569, Angle: 1.0746252559853404, Acceleration: 23.547921901611808
Node ID: UAV_7, Type: uav, Position (x, y, z): (399.9924337227017, 1881.2788504455204, 100.58412304636998), Speed: 24.276316977985807, Angle: 0.34708016535942654, Acceleration: -2.745345164335262
Node ID: UAV_8, Type: uav, Position (x, y, z): (2074.056047538249, 1190.6586848221355, 170.77264270443212), Speed: 27.275254951253388, Angle: -2.543585794023605, Acceleration: -168.92425533828103
Node ID: UAV_9, Type: uav, Position (x, y, z): (1121.3690084836096, 2133.3079513988896, 180.65386991168222), Speed: 27.89918524128555, Angle: -1.0669711948559075, Acceleration: -31.94021218661888
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #90:
