step,succ_ratio,avg_speed_car,avg_speed_uav,v2u_rate,v2i_rate,u2i_rate,avg_running_compute_delay,pre_ratio,pre_v2u_rate,pre_v2i_rate,pre_u2i_rate
1490,0.5735,10.86,18.8,0.19,0.15,0.66,0.91,0.5737,0.19,0.15,0.67
1500,0.5785,10.99,20.09,0.18,0.15,0.66,1.0833,0.5735,0.19,0.15,0.66
1510,0.5778,11.14,18.15,0.18,0.15,0.65,0.3667,0.5785,0.18,0.15,0.66
1520,0.5794,11.41,21.72,0.18,0.15,0.65,1.25,0.5778,0.18,0.15,0.65
1530,0.5794,11.69,21.59,0.18,0.15,0.66,1.005,0.5794,0.18,0.15,0.65
1540,0.5779,11.85,21.78,0.18,0.15,0.65,1.1733,0.5794,0.18,0.15,0.66
1550,0.5758,11.7,19.16,0.18,0.15,0.65,0.69,0.5779,0.18,0.15,0.65
1560,0.5765,11.61,19.26,0.18,0.15,0.65,1.2,0.5758,0.18,0.15,0.65
1570,0.5765,11.62,20.33,0.18,0.14,0.65,0.9757,0.5765,0.18,0.15,0.65
1580,0.5814,11.67,23.35,0.17,0.14,0.65,0.0,0.5765,0.18,0.14,0.65
1590,0.5814,11.76,19.75,0.17,0.14,0.65,0.6,0.5814,0.17,0.14,0.65
1600,0.5819,11.84,21.58,0.17,0.14,0.64,1.3,0.5814,0.17,0.14,0.65
1610,0.5819,11.83,21.69,0.17,0.14,0.65,0.9777,0.5819,0.17,0.14,0.64
1620,0.5842,11.83,19.98,0.17,0.14,0.65,0.945,0.5819,0.17,0.14,0.65
1630,0.5829,11.79,19.52,0.17,0.14,0.64,0.3125,0.5842,0.17,0.14,0.65
1640,0.5848,11.83,18.56,0.17,0.14,0.7,0.47,0.5829,0.17,0.14,0.64
1650,0.5852,11.84,21.68,0.17,0.14,0.69,1.0359,0.5848,0.17,0.14,0.7
1660,0.5885,11.83,18.35,0.17,0.14,0.74,1.4222,0.5852,0.17,0.14,0.69
1670,0.5872,11.78,17.52,0.17,0.14,0.74,1.2389,0.5885,0.17,0.14,0.74
